category,value,question,answer
lakes & rivers,100,River mentioned most often in the Bible,the Jordan
lakes & rivers,200,Scottish word for lake,loch
lakes & rivers,800,River in this famous song:,the Volga River
lakes & rivers,400,American river only 33 miles shorter than the Mississippi,the Missouri
lakes & rivers,500,"World's largest lake, nearly 5 times as big as Superior",the Caspian Sea
inventions,100,Marconi's wonderful wireless,the radio
inventions,200,"In 1869 an American minister created this ""oriental"" transportation",the rickshaw
inventions,300,A 1920's hunting trip to Canada inspired Birdseye's food preserving method,freezing
inventions,400,This fastener gets its name from a brand of galoshes it was used on,a zipper
animals,100,These rodents first got to America by stowing away on ships,rats
animals,200,"There are about 40,000 muscles & tendons in this part of an elephant's body",the trunk
animals,300,"When husbands ""pop"" for an ermine coat, they're actually buying this fur",a weasel
animals,400,"Close relative of the pig, though its name means ""river horse\""",the hippopotamus
animals,500,"If this species of hybrid's parents were reversed, you'd get a hinny",mule
foreign cuisine,100,"The ""coq"" in coq au vin",chicken
foreign cuisine,200,"A British variety is called ""bangers"", a Mexican variety, ""chorizo\""",sausages
foreign cuisine,300,Jewish crepe filled with cheese,a blintz
foreign cuisine,400,French for a toothsome cut of beef served to a twosome,Châteaubriand
actors & roles,100,Video in which Michael Jackson plays a werewolf & a zombie,"\""Thriller\"""
actors & roles,200,"2 ""Saturday Night"" alumni who tried ""Trading Places\""",Dan Aykroyd & Eddie Murphy
actors & roles,300,"He may ""Never Say Never Again"" when asked to be Bond",Sean Connery
actors & roles,400,"The blonde preferred in the film ""Gentlemen Prefer Blondes\""",Marilyn Monroe
actors & roles,500,"Sam Shepard played this barrier breaker in ""The Right Stuff\""",Colonel Chuck Yeager
the bible,200,"When ""Joshua Fit The Battle Of Jericho"", these took a tumble",the walls
the bible,400,His price was 30 pieces of silver,Judas
the bible,600,"According to the Bible, it wasn't necessarily an apple",the forbidden fruit (or the fruit of the Tree of Knowledge)
the bible,800,"Though its name means ""city of peace"", it's seen over 30 wars, the last in 1967",Jerusalem
the bible,1000,"According to 1st Timothy, it is the ""root of all evil\""",the love of money
\'50's tv,200,"Occupation of Richard Diamond, Peter Gunn & Mike Hammer",private eyes (or private detectives)
\'50's tv,400,"She was ""Our Miss Brooks\""",Eve Arden
\'50's tv,600,Amount Michael Anthony gave out each week on behalf of John Beresford Tipton,$1 million
\'50's tv,800,"His card read ""Have gun, will travel\""",Paladin (Richard Boone)
\'50's tv,1000,Name under which experimenter Don Herbert taught viewers all about science,Mr. Wizard
national landmarks,200,She came from France to harbor America's freedom,the Statue of Liberty
national landmarks,400,"When he was home, George Washington slept here",Mount Vernon
national landmarks,600,"The cornerstone of Massachusetts, it bears the date 1620",Plymouth Rock
national landmarks,800,"Site where John Hancock signed his ""John Hancock\""",Independence Hall
national landmarks,1000,D.C. building shaken by November '83 bomb blast,the Capitol
notorious,200,"It was probably a lyre, not a fiddle, if he played it while Rome burned",Nero
notorious,400,"His book, translated as ""My Struggle"", outlined plans to conquer Europe",Adolf Hitler
notorious,600,"Lenin called him ruthless, and his purges proved he was",Stalin
notorious,1000,"After the deed, he leaped to the stage shouting ""Sic semper tyrannis\""",John Wilkes Booth
4-letter words,200,Pulled the trigger or what's in a jigger,shot
4-letter words,400,Basketball defense or Serling's twilight area,zone
4-letter words,600,"Little girls do it with a rope, Van Halen does it in a song",jump
4-letter words,1000,"It's the first 4-letter word in ""The Star Spangled Banner\""",what
4-letter words,1000,The president takes one before stepping into office,oath
holidays,0,The third Monday of January starting in 1986,Martin Luther King Day
state capitals,100,Until 1875 its dual capitals were New Haven & Hartford,Connecticut
state capitals,200,This N.M. town is the oldest city that's a state capital,Santa Fe
state capitals,300,"Crossing the Delaware on Xmas, 1776, Washington defeated the Hessians at this N.J. capital",Trenton
state capitals,400,"It actually is 5,280 feet above sea level",Denver
state capitals,500,"The name shows its founder, Roger Williams, believed God led him there",Providence
the '40's,100,"Though faster than a speeding bullet, he was ruled 4-F",Superman
the '40's,200,"By war's end, they had banked over 13 million units of blood for plasma",the Red Cross
the '40's,300,"Not his singing, but a lack of lunch caused fan to swoon at his Paramount Theater concert",Frank Sinatra
the '40's,400,"Destination of MacArthur's ""I shall return\""",the Philippines
the '40's,500,Wartime pseudonym of Mrs. I. Toguri D'Aquino,Tokyo Rose
transportation,100,"Type of auto engine, or a tomato cocktail",V8
transportation,200,"Lindbergh was not first to fly the Atlantic, but first to do it this way",solo
transportation,300,"Derived from words ""American"", ""travel"", & ""track"", it provides most U.S. passenger rail service",Amtrak
transportation,400,"London's, not New York's, was the first ever built","subway (underground, metro)"
transportation,500,"Changing lines, you could have at one time ridden these from Freeport, IL to Utica, NY",streetcars
country music,100,"A grandma before her 30th birthday, she's the real ""Coal Miner's Daughter\""",Loretta Lynn
country music,200,Nashville's Ryman Auditorium was its home for years,the Grand Ole Opry
country music,300,"In ""True Grit"", he played a cowboy, but not his famous Rhinestone one",Glen Campbell
country music,400,His famed San Quentin concert inspired inmate Merle Haggard,Johnny Cash
by the numbers,100,The 2 digits that give James Bond license to kill,00
by the numbers,200,Three Dog Night called this the loneliest number,"\""One\"""
by the numbers,300,Number of red stripes on current U.S. flag,7
by the numbers,400,Total of Disney's Dalmatians and dwarfs,108
by the numbers,500,Broadway hit that takes Fellini film a ½ step further,Nine
wild west,200,"One of its newspapers was appropriately called ""The Epitaph\""",Tombstone
wild west,400,She once shot a cigarette from the mouth of the German crown prince,Annie Oakley
wild west,600,"In 650,000 miles the mail was lost only once",the Pony Express
wild west,800,"Brothers Virgil & Morgan were shot here, but Wyatt Earp emerged unscathed",(the gunfight at) the OK Corral
wild west,1000,"It ran 2,000 miles, from Independence, Missouri to Oregon City, Oregon",the Oregon Trail
opera,200,The Lone Ranger's theme is the opera's overture,(The) William Tell (Overture)
opera,400,Profession of Rossini's Figaro,a barber
opera,1000,"This aria from ""Pagliacci"" gave him the first million-selling record ever",Enrico Caruso
opera,800,Lt. Pinkerton's girlfriend Cio-Cio-San,Madame Butterfly
opera,1000,1976 was also the bicentennial of this famed Milan opera house,Teatro alla Scala
sports,200,"The Greeks reckoned time from this event, first held in Olympia in 776 B.C.",the Olympics
biology,200,Genus Rana; frequent victim of biology class dissections,a frog
biology,400,L.B.J.'s hound dog or Darwin's ship,the Beagle
biology,600,The basic unit of life; 3 billion die every minute in your body,cells
biology,800,It puts the green in greenery,chlorophyll
biology,1000,Deoxyribonucleic acid,DNA
foreign phrases,200,"In Germany, said before a toast & after a sneeze",Gesundheit
foreign phrases,400,"American equivalent to English ""the bonnet on a lorry\""",the hood of a truck
foreign phrases,600,"From French, it literally means ""a pen name\""",nom de plume
foreign phrases,800,"The vidi, in ""Veni, vidi, vici\""",I saw
religion,200,He was the doubter among the Apostles,(St.) Thomas
religion,400,Continent with the largest Jewish population,North America
religion,600,Color of smoke signifying election of new Pope,white
religion,800,"This Buddhist sect seeks truth through concepts like ""the sound of one hand clapping\""",Zen
religion,1000,"This word for the Mohammedan religion means ""submission to the will of God\""",Islam
the calendar,0,Calendar date with which the 20th century began,"January 1, 1901"
u.s. history,100,This colonial inventor suggested Daylight Saving Time,Benjamin Franklin
u.s. history,200,"On the eve of the Civil War, some 2,000 slaveholders were of this race",black (or negro)
3-letter words,100,"A fedora, homburg or derby",a hat
3-letter words,200,Quixote or Drysdale,a Don
3-letter words,300,"Opposite of flow, tides do it",ebb
3-letter words,400,"Where things are nipped in, or Lou's partner",bud
3-letter words,500,"Some people have a quick one, which beats a ½ one",wit
automobiles,100,"He'd build you a Model T ""in any color, so long as it was black\""",Henry Ford
automobiles,200,"This toy company builds more cars than Ford, G.M. & Chrysler combined",Mattel
automobiles,300,"Powered by this, the Stanley Special won in Daytona in 1907 at 197 MPH",steam
automobiles,400,"In Japan it's called ""rasshu awa""; in L.A, 4 to 6 P.M.",rush hour
automobiles,400,"Models of Ford, Chrysler, & Cadillac are all named for cities in this S. European country",Spain
broadway,100,4-letter play about 9-lived creatures,Cats
broadway,200,"\""The avenue we're taken to"" in this long-running toe-tapper",42nd Street
broadway,300,Nickname of the American Theatre Wing's Antoinette Perry Award,the Tony
broadway,400,"2-time Academy Award winner who reprised ""Little Foxes"" in 1980",Elizabeth Taylor
broadway,500,100s of former cast members appeared onstage when it became longest-running show,A Chorus Line
animals,100,"Scooby-Doo, Goofy & Pluto are cartoon versions",dogs
animals,200,"\""Eager"" animal that symbolizes Canada",the beaver
animals,300,"They include killers, humpbacks & sperms",whales
animals,500,Tibetan ox used to carry travelers and mail,a yak
royalty,100,"While on the Riviera, she made ""To Catch a Thief"" & caught a prince",Princess Grace
royalty,200,"King for 72 years, he devoted more than 40 to building Versailles",Louis XIV (of France)
royalty,300,"Temporarily exiled in '53, this Islamic ruler was permanently banished in '79",Shah of Iran
royalty,400,"Royal families of Germany, Russia, Denmark & Greece could call her ""the grandmother of Europe\""",Queen Victoria (of England)
royalty,500,"Country where Queens Beatrix, Wilhelmina & Juliana were inaugurated, not crowned",the Netherlands (Holland)
new testament,200,Jesus' first miracle was to turn water into this,wine
new testament,400,"According to both New & Old Testaments, how ""thou shalt love they neighbor\""",as thyself
new testament,600,"The ""sea"" that Jesus walked on",the Sea of Galilee
new testament,800,"In Damascus, ""the scales fell from his eyes\""",Paul (Saul)
new testament,1500,"\""Blessed are"" these ""for they shall be called the children of God\""",the peacemakers
colleges,200,"A type of shoe or cloth, or where a Rhodes scholarship will get you",Oxford
colleges,400,"Home of over 52,000 Buckeyes",Ohio State University
colleges,600,"Latin for field, or college grounds",campus
colleges,800,"In 1934, Gerald Ford was voted MVP of this school's football team",(University of) Michigan
colleges,1000,"Women's college that shares Harvard's classes, housing & facilities but still is separate",Radcliffe
mountains,600,First volcano to erupt in continental U.S. since 1921,Mount St. Helens
mountains,800,Home to alpacas & llamas,the Andes
mountains,1000,"Tibetans call it Chomolunga, Nepalese call it Sagarmatha, both call it theirs",Mount Everest
world of food,200,"Like chop suey, this Chinese sweet was invented in America",the fortune cookie
world of food,400,"When its coffee crop was destroyed around 1870, Ceylon switched to growing this",tea
world of food,1000,What Merv has a lovely bunch of in this song:,coconuts
world of food,800,"French for ""sour wine"", one variety is literally just that",vinegar
world of food,1000,"Stem of a variety of lily, known in Old England as ""sparrow grass\""",asparagus
baseball,200,Before 1859 they sat in padded rocking chairs behind the catcher,umpires
astronomy,200,"Self-luminous gaseous body, or hollywood ""celeb\""",a star
astronomy,400,"The evening or morning ""star"" is really this planet",Venus
astronomy,600,"Planet once thought unique, it no longer runs ""rings"" around its neighbors",Saturn
astronomy,800,"Launched Oct. 4th, 1957, it was Earth's 1st artificial satellite",Sputnik
astronomy,1000,Only planet to have seasons similar to Earth's,Mars
language,0,It is the 2nd most spoken language in the world,English
geography,100,"Christmas, Easter, or Bermuda, for example",islands
geography,200,"Europe's only wild monkeys live on this ""rock\""",(rock of) Gibraltar
geography,300,"1/3 the size of U.S., this royal kingdom has no rivers or lakes but lots of oil",Saudi Arabia
geography,400,Largest country entirely in Europe,France
geography,500,"Clocks in Lima, Peru, read the same as in this U.S. time zone",Eastern
by the numbers,100,"The 1st asked in this game is usually ""Animal, vegetable or mineral?\""",Twenty Questions
by the numbers,200,The two point values an ace can have in blackjack,1 and 11
by the numbers,300,"Police precinct Barney Miller ""dozen"" work at any more",the 12th
by the numbers,400,A race run by couples tied together at the ankle,a 3-legged race
by the numbers,500,"Musical about Continental Congress, it included song ""Sit Down, John\""",1776
toys & games,100,Number of pockets on a pool table,6
toys & games,200,Color that always has opening move in chess,white
toys & games,300,"Versions of this board game take place in London, Madrid, & Atlantic City",Monopoly
